Invoice_id,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Date,Payment,Rating
871-79-8483,Cairo,Mandalay,Member,Female,Fashion accessories,94.13,5,2/25/2019,Credit card,4.8
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9,1/28/2019,Cash,4.5
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8,1/10/2019,Cash,5.1
595-11-5460,Alex,Yangon,Member,Female,Health and beauty,96.58,2,3/15/2019,Credit card,5.1
183-56-6882,Giza,Naypyitaw,Member,Female,Food and beverages,99.42,4,2/6/2019,Ewallet,7.5
232-16-2483,Giza,Naypyitaw,Member,Female,Sports and travel,68.12,1,1/7/2019,Ewallet,6.8
129-29-8530,Alex,Yangon,Member,Female,Sports and travel,62.62,5,3/10/2019,Ewallet,7
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9,1/15/2019,Ewallet,4.7
333-73-7901,Giza,Naypyitaw,Member,Female,Health and beauty,54.92,8,3/23/2019,Ewallet,7.6
777-82-7220,Cairo,Mandalay,Member,Female,Home and lifestyle,30.12,8,3/3/2019,Cash,7.7
280-35-5823,Cairo,Mandalay,Member,Female,Home and lifestyle,86.72,1,1/17/2019,Ewallet,7.9
554-53-8700,Giza,Naypyitaw,Member,Female,Home and lifestyle,56.11,2,2/2/2019,Cash,6.3
354-25-5821,Cairo,Mandalay,Member,Female,Sports and travel,69.12,6,2/8/2019,Cash,5.6
228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.7,8,3/4/2019,Cash,7.6
617-15-4209,Giza,Naypyitaw,Member,Female,Health and beauty,15.37,2,3/16/2019,Cash,7.2
132-32-9879,Cairo,Mandalay,Member,Female,Electronic accessories,93.96,4,3/9/2019,Cash,9.5
370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,9,2/27/2019,Credit card,8.4
727-46-3608,Cairo,Mandalay,Member,Female,Food and beverages,20.01,9,2/6/2019,Ewallet,4.1
669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,18.93,6,2/10/2019,Credit card,8.1
574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,10,3/19/2019,Ewallet,7.9
326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.4,7,2/3/2019,Cash,9.5
162-48-8011,Alex,Yangon,Member,Female,Food and beverages,44.59,5,2/10/2019,Cash,8.5
616-24-2851,Cairo,Mandalay,Member,Female,Fashion accessories,17.87,4,3/22/2019,Ewallet,6.5
778-71-5554,Giza,Naypyitaw,Member,Female,Fashion accessories,15.43,1,1/25/2019,Credit card,6.1
242-55-6721,Cairo,Mandalay,Member,Female,Home and lifestyle,16.16,2,3/7/2019,Ewallet,6.5
399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,8,2/28/2019,Cash,8.2
106-35-6779,Alex,Yangon,Member,Female,Home and lifestyle,44.34,2,3/27/2019,Cash,5.8
635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.6,8,2/7/2019,Ewallet,6.6
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10,1/20/2019,Cash,5.4
120-06-4233,Giza,Naypyitaw,Member,Female,Electronic accessories,30.61,6,3/12/2019,Cash,9.3
285-68-5083,Giza,Naypyitaw,Member,Female,Sports and travel,24.74,3,2/15/2019,Credit card,10
803-83-5989,Giza,Naypyitaw,Member,Female,Home and lifestyle,55.73,6,2/24/2019,Ewallet,7
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9,2/3/2019,Ewallet,10
199-75-8169,Alex,Yangon,Member,Female,Sports and travel,15.81,10,3/6/2019,Credit card,8.6
853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,4,2/14/2019,Cash,7.6
877-22-3308,Alex,Yangon,Member,Female,Health and beauty,15.87,10,3/13/2019,Cash,5.8
838-78-4295,Giza,Naypyitaw,Member,Female,Health and beauty,33.47,2,2/10/2019,Ewallet,6.7
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6,1/7/2019,Ewallet,9.9
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10,1/24/2019,Cash,6.4
382-03-4532,Alex,Yangon,Member,Female,Health and beauty,18.33,1,2/2/2019,Cash,4.3
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10,1/6/2019,Credit card,9.6
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,10,2/11/2019,Cash,5.9
510-95-6347,Cairo,Mandalay,Member,Female,Food and beverages,48.52,3,3/5/2019,Ewallet,4
841-35-6630,Giza,Naypyitaw,Member,Female,Electronic accessories,75.91,6,3/9/2019,Cash,8.7
287-21-9091,Alex,Yangon,Member,Female,Home and lifestyle,74.67,9,1/22/2019,Ewallet,9.4
732-94-0499,Giza,Naypyitaw,Member,Female,Electronic accessories,41.65,10,1/13/2019,Credit card,5.4
263-10-3913,Giza,Naypyitaw,Member,Female,Fashion accessories,49.04,9,1/9/2019,Credit card,8.6
381-20-0914,Alex,Yangon,Member,Female,Fashion accessories,20.01,9,1/12/2019,Credit card,5.7
829-49-1914,Giza,Naypyitaw,Member,Female,Food and beverages,78.31,10,3/5/2019,Ewallet,6.6
756-01-7507,Giza,Naypyitaw,Member,Female,Health and beauty,20.38,5,1/22/2019,Cash,6
870-72-4431,Giza,Naypyitaw,Member,Female,Health and beauty,99.19,6,1/21/2019,Credit card,5.5
847-38-7188,Cairo,Mandalay,Member,Female,Food and beverages,96.68,3,1/26/2019,Ewallet,6.4
480-63-2856,Giza,Naypyitaw,Member,Female,Food and beverages,19.25,8,1/23/2019,Ewallet,6.6
787-56-0757,Giza,Naypyitaw,Member,Female,Food and beverages,80.36,4,2/23/2019,Credit card,8.3
360-39-5055,Giza,Naypyitaw,Member,Female,Sports and travel,48.91,5,3/9/2019,Cash,6.6
730-50-9884,Giza,Naypyitaw,Member,Female,Sports and travel,83.06,7,3/5/2019,Ewallet,4
362-58-8315,Giza,Naypyitaw,Member,Female,Fashion accessories,76.52,5,3/25/2019,Cash,9.9
633-44-8566,Alex,Yangon,Member,Female,Food and beverages,49.38,7,3/27/2019,Credit card,7.3
504-35-8843,Alex,Yangon,Member,Female,Sports and travel,42.47,1,1/2/2019,Cash,5.7
318-68-5053,Cairo,Mandalay,Member,Female,Health and beauty,76.99,6,2/27/2019,Cash,6.1
565-80-5980,Giza,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,1/23/2019,Cash,7.1
225-32-0908,Giza,Naypyitaw,Member,Female,Sports and travel,44.86,10,1/26/2019,Ewallet,8.2
873-51-0671,Alex,Yangon,Member,Female,Sports and travel,21.98,7,1/10/2019,Ewallet,5.1
152-08-9985,Cairo,Mandalay,Member,Female,Health and beauty,64.36,9,3/12/2019,Credit card,8.6
512-91-0811,Giza,Naypyitaw,Member,Female,Health and beauty,89.75,1,2/6/2019,Credit card,6.6
594-34-4444,Alex,Yangon,Member,Female,Electronic accessories,97.16,1,3/8/2019,Ewallet,7.2
766-85-7061,Cairo,Mandalay,Member,Female,Health and beauty,87.87,10,3/29/2019,Ewallet,5.1
871-39-9221,Giza,Naypyitaw,Member,Female,Electronic accessories,12.45,6,2/9/2019,Cash,4.1
865-92-6136,Alex,Yangon,Member,Female,Food and beverages,52.75,3,3/23/2019,Ewallet,9.3
733-01-9107,Cairo,Mandalay,Member,Female,Home and lifestyle,82.7,6,3/5/2019,Cash,7.4
163-56-7055,Giza,Naypyitaw,Member,Female,Fashion accessories,48.71,1,3/26/2019,Cash,4.1
189-98-2939,Giza,Naypyitaw,Member,Female,Fashion accessories,78.55,9,3/1/2019,Cash,7.2
551-21-3069,Giza,Naypyitaw,Member,Female,Electronic accessories,23.07,9,2/1/2019,Cash,4.9
212-62-1842,Alex,Yangon,Member,Female,Food and beverages,58.26,6,3/28/2019,Cash,9.9
716-39-1409,Cairo,Mandalay,Member,Female,Health and beauty,30.35,7,3/19/2019,Cash,8
704-48-3927,Alex,Yangon,Member,Female,Electronic accessories,88.67,10,1/12/2019,Ewallet,7.3
628-34-3388,Giza,Naypyitaw,Member,Female,Fashion accessories,27.38,6,1/5/2019,Credit card,7.9
630-74-5166,Alex,Yangon,Member,Female,Sports and travel,62.13,6,3/22/2019,Cash,7.4
588-01-7461,Giza,Naypyitaw,Member,Female,Food and beverages,33.98,9,3/24/2019,Cash,4.2
861-77-0145,Giza,Naypyitaw,Member,Female,Electronic accessories,81.97,10,3/3/2019,Cash,9.2
479-26-8945,Cairo,Mandalay,Member,Female,Sports and travel,16.49,2,2/5/2019,Ewallet,4.6
210-67-5886,Giza,Naypyitaw,Member,Female,Health and beauty,98.21,3,2/5/2019,Credit card,7.8
227-78-1148,Cairo,Mandalay,Member,Female,Fashion accessories,72.84,7,2/15/2019,Cash,8.4
645-44-1170,Alex,Yangon,Member,Female,Home and lifestyle,58.07,9,1/19/2019,Ewallet,4.3
237-01-6122,Giza,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,2/1/2019,Credit card,9.5
225-98-1496,Giza,Naypyitaw,Member,Female,Fashion accessories,27.02,3,3/2/2019,Credit card,7.1
291-32-1427,Cairo,Mandalay,Member,Female,Fashion accessories,21.94,5,3/5/2019,Ewallet,5.3
659-65-8956,Cairo,Mandalay,Member,Female,Fashion accessories,51.36,1,1/16/2019,Ewallet,5.2
642-32-2990,Alex,Yangon,Member,Female,Food and beverages,10.96,10,2/2/2019,Ewallet,6
378-24-2715,Cairo,Mandalay,Member,Female,Home and lifestyle,53.44,2,1/20/2019,Ewallet,4.1
638-60-7125,Alex,Yangon,Member,Female,Electronic accessories,99.56,8,2/14/2019,Credit card,5.2
659-36-1684,Giza,Naypyitaw,Member,Female,Sports and travel,57.12,7,1/12/2019,Credit card,6.5
219-22-9386,Cairo,Mandalay,Member,Female,Sports and travel,99.96,9,3/9/2019,Credit card,4.2
336-78-2147,Giza,Naypyitaw,Member,Female,Home and lifestyle,63.91,8,3/13/2019,Credit card,4.6
268-27-6179,Cairo,Mandalay,Member,Female,Fashion accessories,56.47,8,3/9/2019,Ewallet,7.3
668-90-8900,Alex,Yangon,Member,Female,Home and lifestyle,93.69,7,3/10/2019,Credit card,4.5
870-54-3162,Alex,Yangon,Member,Female,Sports and travel,32.25,5,1/27/2019,Cash,9
189-08-9157,Giza,Naypyitaw,Member,Female,Fashion accessories,31.73,9,1/8/2019,Credit card,5.9
663-86-9076,Giza,Naypyitaw,Member,Female,Food and beverages,68.54,8,1/8/2019,Ewallet,8.5
549-84-7482,Cairo,Mandalay,Member,Female,Sports and travel,90.28,9,2/8/2019,Ewallet,7.2
191-10-6171,Cairo,Mandalay,Normal,Female,Fashion accessories,39.62,7,1/25/2019,Cash,7.5
802-70-5316,Alex,Yangon,Member,Female,Sports and travel,92.13,6,3/6/2019,Cash,8.3
695-51-0018,Cairo,Mandalay,Normal,Female,Sports and travel,34.84,4,2/10/2019,Cash,7.4
590-83-4591,Cairo,Mandalay,Member,Female,Electronic accessories,87.45,6,2/17/2019,Credit card,8.8
483-71-1164,Giza,Naypyitaw,Normal,Female,Health and beauty,81.3,6,3/8/2019,Ewallet,5.3
597-78-7908,Giza,Naypyitaw,Normal,Female,Fashion accessories,90.22,3,2/18/2019,Cash,6.2
700-81-1757,Alex,Yangon,Normal,Female,Electronic accessories,26.31,5,1/18/2019,Credit card,8.8
354-39-5160,Alex,Yangon,Member,Female,Home and lifestyle,34.42,6,2/18/2019,Cash,9.8
241-72-9525,Cairo,Mandalay,Normal,Female,Sports and travel,51.91,10,2/16/2019,Cash,8.2
575-30-8091,Alex,Yangon,Normal,Female,Sports and travel,72.5,8,3/16/2019,Ewallet,9.2
731-81-9469,Giza,Naypyitaw,Member,Female,Sports and travel,89.8,10,1/23/2019,Credit card,5.4
280-17-4359,Giza,Naypyitaw,Member,Male,Health and beauty,90.5,10,1/25/2019,Cash,8.1
338-65-2210,Giza,Naypyitaw,Member,Female,Health and beauty,68.6,10,2/5/2019,Cash,9.1
488-25-4221,Giza,Naypyitaw,Member,Female,Food and beverages,30.41,1,2/22/2019,Credit card,8.4
239-10-7476,Alex,Yangon,Normal,Female,Home and lifestyle,77.95,6,1/21/2019,Ewallet,8
458-41-1477,Giza,Naypyitaw,Normal,Female,Health and beauty,46.26,6,3/8/2019,Credit card,9.5
685-64-1609,Alex,Yangon,Member,Female,Fashion accessories,30.14,10,2/10/2019,Ewallet,9.2
568-90-5112,Giza,Naypyitaw,Normal,Male,Health and beauty,66.14,4,3/19/2019,Credit card,5.6
262-47-2794,Cairo,Mandalay,Member,Male,Home and lifestyle,71.86,8,3/6/2019,Credit card,6.2
238-49-0436,Alex,Yangon,Normal,Male,Health and beauty,32.46,8,3/27/2019,Credit card,4.9
608-96-3517,Cairo,Mandalay,Member,Female,Fashion accessories,91.54,4,3/23/2019,Credit card,4.8
584-86-7256,Giza,Naypyitaw,Member,Male,Sports and travel,34.56,7,3/11/2019,Credit card,7.3
746-94-0204,Alex,Yangon,Normal,Male,Fashion accessories,83.24,9,1/29/2019,Credit card,7.4
214-17-6927,Giza,Naypyitaw,Normal,Female,Food and beverages,16.48,6,2/7/2019,Ewallet,9.9
400-89-4171,Giza,Naypyitaw,Normal,Female,Sports and travel,80.97,8,1/28/2019,Cash,9.3
782-95-9291,Alex,Yangon,Member,Male,Food and beverages,92.29,5,2/20/2019,Credit card,9
279-74-2924,Cairo,Mandalay,Member,Male,Electronic accessories,72.17,1,1/4/2019,Cash,6.1
307-85-2293,Cairo,Mandalay,Normal,Male,Home and lifestyle,50.28,5,3/7/2019,Ewallet,9.7
743-04-1105,Cairo,Mandalay,Member,Male,Health and beauty,97.22,9,3/30/2019,Ewallet,6
423-57-2993,Cairo,Mandalay,Normal,Male,Sports and travel,93.39,6,3/27/2019,Ewallet,10
894-41-5205,Giza,Naypyitaw,Normal,Female,Food and beverages,43.18,8,1/19/2019,Credit card,8.3
275-28-0149,Alex,Yangon,Normal,Male,Sports and travel,63.69,1,2/25/2019,Cash,6
101-17-6199,Alex,Yangon,Normal,Male,Food and beverages,45.79,7,3/13/2019,Credit card,7
423-80-0988,Giza,Naypyitaw,Normal,Male,Sports and travel,76.4,2,1/30/2019,Ewallet,6.5
548-46-9322,Cairo,Mandalay,Normal,Male,Food and beverages,39.9,10,2/20/2019,Credit card,5.9
505-02-0892,Cairo,Mandalay,Member,Male,Health and beauty,42.57,8,2/25/2019,Ewallet,5.6
234-65-2137,Giza,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,1/16/2019,Cash,4.8
687-47-8271,Alex,Yangon,Normal,Male,Fashion accessories,98.98,10,2/8/2019,Credit card,8.7
796-32-9050,Alex,Yangon,Normal,Male,Food and beverages,51.28,6,1/19/2019,Cash,6.5
105-31-1824,Alex,Yangon,Member,Male,Sports and travel,69.52,7,2/1/2019,Credit card,8.5
249-42-3782,Alex,Yangon,Normal,Male,Health and beauty,70.01,5,1/3/2019,Ewallet,5.5
316-55-4634,Cairo,Mandalay,Member,Male,Food and beverages,80.05,5,1/26/2019,Credit card,9.4
733-33-4967,Giza,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,3/3/2019,Cash,6.3
608-27-6295,Cairo,Mandalay,Member,Male,Electronic accessories,52.89,6,1/19/2019,Credit card,9.8
414-12-7047,Cairo,Mandalay,Normal,Male,Food and beverages,19.79,8,1/18/2019,Ewallet,8.7
827-26-2100,Alex,Yangon,Member,Male,Home and lifestyle,33.84,9,3/21/2019,Ewallet,8.8
175-54-2529,Alex,Yangon,Member,Male,Food and beverages,22.17,8,3/3/2019,Credit card,9.6
139-52-2867,Giza,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,2/13/2019,Credit card,4.8
407-63-8975,Alex,Yangon,Normal,Male,Food and beverages,73.88,6,3/23/2019,Ewallet,4.4
342-65-4817,Giza,Naypyitaw,Member,Male,Health and beauty,86.8,3,1/28/2019,Ewallet,9.9
130-98-8941,Giza,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,2/9/2019,Cash,5.7
434-83-9547,Giza,Naypyitaw,Member,Male,Food and beverages,38.47,8,1/23/2019,Cash,7.7
851-28-6367,Alex,Yangon,Member,Male,Sports and travel,15.5,10,3/23/2019,Ewallet,8
824-88-3614,Giza,Naypyitaw,Normal,Male,Health and beauty,34.31,8,1/25/2019,Ewallet,5.7
586-25-0848,Alex,Yangon,Normal,Female,Sports and travel,12.34,7,3/4/2019,Credit card,6.7
895-66-0685,Cairo,Mandalay,Member,Male,Food and beverages,18.08,3,3/5/2019,Ewallet,8
305-14-0245,Cairo,Mandalay,Member,Female,Home and lifestyle,94.49,8,3/3/2019,Ewallet,7.5
732-04-5373,Cairo,Mandalay,Member,Male,Home and lifestyle,46.47,4,2/8/2019,Cash,7
400-60-7251,Alex,Yangon,Normal,Male,Home and lifestyle,74.07,1,2/10/2019,Ewallet,9.9
593-65-1552,Giza,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,1/28/2019,Credit card,5.9
284-34-9626,Cairo,Mandalay,Normal,Female,Home and lifestyle,77.04,3,2/11/2019,Credit card,7.2
437-58-8131,Cairo,Mandalay,Normal,Female,Fashion accessories,73.52,2,1/15/2019,Ewallet,4.6
286-43-6208,Giza,Naypyitaw,Normal,Female,Food and beverages,87.8,9,3/16/2019,Cash,9.2
641-43-2399,Cairo,Mandalay,Normal,Male,Home and lifestyle,25.55,4,1/26/2019,Ewallet,5.7
831-07-6050,Alex,Yangon,Normal,Male,Electronic accessories,32.71,5,3/19/2019,Credit card,9.9
556-86-3144,Giza,Naypyitaw,Member,Female,Fashion accessories,74.29,1,1/13/2019,Cash,5
848-24-9445,Giza,Naypyitaw,Member,Male,Health and beauty,43.7,2,3/26/2019,Cash,4.9
856-22-8149,Alex,Yangon,Normal,Female,Home and lifestyle,25.29,1,3/23/2019,Ewallet,6.1
699-01-4164,Giza,Naypyitaw,Normal,Male,Health and beauty,41.5,4,3/12/2019,Credit card,8.2
420-11-4919,Giza,Naypyitaw,Member,Female,Food and beverages,71.39,5,2/17/2019,Credit card,5.5
606-80-4905,Giza,Naypyitaw,Member,Female,Sports and travel,19.15,6,1/29/2019,Credit card,6.8
542-41-0513,Cairo,Mandalay,Member,Female,Electronic accessories,57.49,4,3/15/2019,Cash,6.6
426-39-2418,Giza,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,1/14/2019,Cash,9.8
875-46-5808,Cairo,Mandalay,Member,Male,Health and beauty,25.9,10,2/6/2019,Ewallet,8.7
394-43-4238,Cairo,Mandalay,Member,Male,Home and lifestyle,17.77,5,2/15/2019,Credit card,5.4
749-24-1565,Alex,Yangon,Normal,Female,Health and beauty,23.03,9,1/3/2019,Ewallet,7.9
672-51-8681,Giza,Naypyitaw,Member,Female,Electronic accessories,66.65,9,1/4/2019,Credit card,9.7
263-87-5680,Giza,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,3/18/2019,Ewallet,7.8
573-58-9734,Cairo,Mandalay,Normal,Female,Fashion accessories,30.37,3,3/28/2019,Ewallet,5.1
817-69-8206,Cairo,Mandalay,Normal,Female,Electronic accessories,99.73,9,3/2/2019,Credit card,6.5
888-02-0338,Alex,Yangon,Normal,Male,Electronic accessories,26.23,9,1/25/2019,Ewallet,5.9
677-11-0152,Giza,Naypyitaw,Normal,Female,Food and beverages,93.26,9,1/16/2019,Cash,8.8
142-63-6033,Cairo,Mandalay,Normal,Male,Home and lifestyle,92.36,5,3/20/2019,Ewallet,4.9
656-16-1063,Cairo,Mandalay,Normal,Male,Sports and travel,46.42,3,1/4/2019,Credit card,4.4
891-58-8335,Cairo,Mandalay,Member,Female,Sports and travel,29.61,7,3/11/2019,Cash,6.5
802-43-8934,Alex,Yangon,Normal,Male,Home and lifestyle,18.28,1,3/22/2019,Credit card,8.3
560-30-5617,Cairo,Mandalay,Normal,Female,Sports and travel,24.77,5,3/24/2019,Cash,8.5
319-74-2561,Alex,Yangon,Member,Female,Electronic accessories,94.64,3,2/21/2019,Cash,5.5
549-03-9315,Cairo,Mandalay,Normal,Male,Fashion accessories,94.87,8,2/12/2019,Ewallet,8.7
790-29-1172,Cairo,Mandalay,Normal,Female,Food and beverages,57.34,3,3/10/2019,Credit card,7.9
239-36-3640,Cairo,Mandalay,Normal,Male,Electronic accessories,45.35,6,1/31/2019,Ewallet,6.1
468-01-2051,Cairo,Mandalay,Normal,Male,Food and beverages,62.08,7,3/6/2019,Ewallet,5.4
389-25-3394,Giza,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,2/17/2019,Cash,9.4
279-62-1445,Giza,Naypyitaw,Member,Female,Fashion accessories,12.54,1,2/21/2019,Cash,8.2
213-72-6612,Alex,Yangon,Normal,Male,Food and beverages,43.25,2,3/20/2019,Cash,6.2
746-68-6593,Giza,Naypyitaw,Member,Female,Sports and travel,87.16,2,1/11/2019,Credit card,9.7
836-82-5858,Cairo,Mandalay,Member,Male,Health and beauty,69.37,9,1/26/2019,Ewallet,4
583-72-1480,Giza,Naypyitaw,Member,Male,Electronic accessories,37.06,4,1/31/2019,Ewallet,9.7
466-61-5506,Cairo,Mandalay,Member,Female,Electronic accessories,90.7,6,2/26/2019,Cash,5.3
721-86-6247,Alex,Yangon,Normal,Female,Home and lifestyle,63.42,8,3/11/2019,Ewallet,7.4
289-65-5721,Cairo,Mandalay,Normal,Female,Fashion accessories,81.37,2,1/26/2019,Cash,6.5
545-46-3100,Cairo,Mandalay,Member,Female,Electronic accessories,10.59,3,3/12/2019,Credit card,8.7
418-02-5978,Cairo,Mandalay,Normal,Female,Health and beauty,84.09,9,2/11/2019,Cash,8
269-04-5750,Cairo,Mandalay,Member,Male,Fashion accessories,73.82,4,2/21/2019,Cash,6.7
157-13-5295,Alex,Yangon,Member,Male,Health and beauty,51.94,10,3/9/2019,Ewallet,6.5
645-78-8093,Alex,Yangon,Normal,Female,Sports and travel,93.14,2,1/20/2019,Ewallet,4.1
211-30-9270,Giza,Naypyitaw,Normal,Male,Health and beauty,17.41,5,1/28/2019,Credit card,4.9
755-12-3214,Giza,Naypyitaw,Member,Female,Fashion accessories,44.22,5,3/5/2019,Credit card,8.6
346-84-3103,Cairo,Mandalay,Member,Female,Electronic accessories,13.22,5,3/2/2019,Cash,4.3
478-06-7835,Alex,Yangon,Normal,Male,Fashion accessories,89.69,1,1/11/2019,Ewallet,4.9
540-11-4336,Alex,Yangon,Normal,Male,Food and beverages,24.94,9,1/11/2019,Credit card,5.6
448-81-5016,Alex,Yangon,Normal,Male,Health and beauty,59.77,2,3/11/2019,Credit card,5.8
142-72-4741,Giza,Naypyitaw,Member,Male,Fashion accessories,93.2,2,2/28/2019,Credit card,6
217-58-1179,Alex,Yangon,Member,Male,Home and lifestyle,62.65,4,1/5/2019,Cash,4.2
376-02-8238,Cairo,Mandalay,Normal,Male,Home and lifestyle,93.87,8,2/2/2019,Credit card,8.3
530-90-9855,Alex,Yangon,Member,Male,Home and lifestyle,47.59,8,1/1/2019,Cash,5.7
866-05-7563,Cairo,Mandalay,Member,Female,Electronic accessories,81.4,3,2/9/2019,Cash,4.8
604-70-6476,Alex,Yangon,Member,Male,Fashion accessories,17.94,5,1/23/2019,Ewallet,6.8
799-71-1548,Alex,Yangon,Member,Male,Electronic accessories,77.72,4,1/7/2019,Credit card,8.8
785-13-7708,Cairo,Mandalay,Normal,Male,Food and beverages,73.06,7,1/14/2019,Credit card,4.2
845-51-0542,Cairo,Mandalay,Member,Male,Food and beverages,46.55,9,2/2/2019,Ewallet,6.4
662-47-5456,Giza,Naypyitaw,Member,Male,Fashion accessories,35.19,10,3/17/2019,Credit card,8.4
883-17-4236,Giza,Naypyitaw,Normal,Female,Sports and travel,14.39,2,3/2/2019,Credit card,7.2
290-68-2984,Alex,Yangon,Normal,Male,Home and lifestyle,23.75,4,3/16/2019,Cash,5.2
704-11-6354,Alex,Yangon,Member,Male,Home and lifestyle,58.9,8,1/6/2019,Cash,8.9
110-48-7033,Cairo,Mandalay,Member,Male,Fashion accessories,32.62,4,1/29/2019,Cash,9
366-93-0948,Alex,Yangon,Member,Male,Electronic accessories,66.35,1,1/31/2019,Credit card,9.7
729-09-9681,Alex,Yangon,Member,Male,Home and lifestyle,25.91,6,2/5/2019,Ewallet,8.7
151-16-1484,Alex,Yangon,Member,Male,Electronic accessories,32.25,4,2/13/2019,Ewallet,6.5
380-94-4661,Giza,Naypyitaw,Member,Male,Electronic accessories,65.94,4,2/7/2019,Credit card,6.9
